source_id,ra,dec,l,b,parallax,parallax_error,parallax_over_error,distance_gspphot,phot_g_mean_mag,bp_rp,pf,pf_error,p1_o,int_average_g,int_average_bp,int_average_rp,peak_to_peak_g,metallicity,type_best_classification,mode_best_classification
5527800347943673088,127.42212200552522,-40.33388232917654,259.0349190786091,-0.751634730069972,0.4305063362198259,0.015306894,28.124996,1966.8793,11.628609,2.3696318,4.275307052227994,4.0632633E-5,,11.597164,12.843897,10.493586,0.5749596,0.0038664353,"DCEP","FUNDAMENTAL"
5528389583094696192,129.86192169931016,-40.35275487985691,260.1623513965254,0.7272444514736985,0.41746598639922283,0.029013757,14.388554,1451.2189,13.09577,3.9374619,8.751653496189407,3.871992E-4,,13.028783,15.528329,11.618609,0.42794076,,"DCEP","FUNDAMENTAL"
5528450228034393728,128.67519468562898,-40.96762641332845,260.1088870612777,-0.36160640084755824,0.1250031201139278,0.020148667,6.204039,,14.915821,2.9653692,3.937292685122519,1.0746951E-4,,14.919057,16.64082,13.666193,0.42078465,0.13039947,"DCEP","FUNDAMENTAL"
5528719780180011136,129.04735518392033,-39.061754306997955,258.7552981142564,1.0100751838444428,0.4168916141594201,0.018341491,22.72943,,9.537137,2.3633347,12.959330301279673,0.0012906771,,9.456337,10.6788435,8.369821,0.53108364,,"DCEP","FUNDAMENTAL"
5529090109446895488,129.75878423135376,-38.83571073960707,258.9099437440003,1.5874087369100722,0.12131229102584665,0.013600398,8.919761,,13.209294,2.090002,4.040370019559849,1.682214E-4,,13.17395,14.206233,12.159108,0.7222405,-0.33185428,"DCEP","FUNDAMENTAL"
5529536133205793024,128.37935687729026,-38.44720132876381,257.95106817940643,0.9606897598632136,0.16288767555175152,0.017408926,9.356561,,13.68884,2.4380941,3.6425480106843677,7.8256046E-5,,13.70376,15.014918,12.578431,0.44438678,-0.15985616,"DCEP","FUNDAMENTAL"
5529690885168872576,127.48482141653243,-38.41925553686671,257.5139145348343,0.4123193477829438,0.14587376933442783,0.019491775,7.4838634,3303.9043,14.753662,2.838478,3.344410674705114,5.630207E-5,,14.739602,16.338898,13.518161,0.45657763,0.037926674,"DCEP","FUNDAMENTAL"
5530071831587999232,129.78342696387423,-37.375507356326665,257.7614149903138,2.490264547938637,0.20133792955888302,0.012560436,16.029533,,12.237841,1.3991442,4.065855810500746,1.8645228E-4,,12.256243,12.877162,11.487749,0.7234429,-0.27255252,"DCEP","FUNDAMENTAL"
5534048803808721664,120.1434657532032,-41.68486817027851,257.11526951563883,-6.071524257689679,0.10538575181794023,0.015315219,6.881113,,14.569061,1.8002586,3.5161056406350943,7.0655144E-5,,14.5713,15.439496,13.639942,0.29553875,0.15742975,"DCEP","FUNDAMENTAL"
5537743094157581568,119.44026790303079,-40.123336587531924,255.4953349074749,-5.718961152436391,0.9110317878697062,0.019895164,45.79162,1099.664,7.1557727,1.1178474,5.083751954550861,3.4006895E-4,,7.1386003,7.579774,6.5215397,0.5485177,0.28781322,"DCEP","FUNDAMENTAL"
5537860123428416640,119.69307320760396,-38.99433445729649,254.62567044828572,-4.968704482596659,0.1491298386393232,0.013715861,10.872802,,11.558196,1.8467112,15.560239020722888,8.613145E-4,,11.459988,12.305791,10.535433,0.8267413,,"DCEP","FUNDAMENTAL"
5538569613358406144,117.35518275972201,-38.23934927020358,253.0390558299422,-6.157336974133077,0.07519832798444845,0.013752985,5.467782,,12.674881,1.6071835,10.501656040868594,0.0012538696,,12.588943,13.298181,11.7549095,0.70547646,,"DCEP","FUNDAMENTAL"
5539023922122441728,118.71080964641332,-37.62245573954554,253.0469114631103,-4.922934308238701,0.33376482372736216,0.037404023,8.923233,,12.4688015,1.9533653,3.7077207845298146,3.39653E-5,,12.460013,13.423787,11.480085,0.46332294,0.07968967,"DCEP","FUNDAMENTAL"
5539107450645759232,118.43777753766591,-36.97038424396259,252.37293945899475,-4.776713539862585,0.29780850966218786,0.011465859,25.973503,,10.684582,1.7421246,5.564487895143873,2.903973E-4,,10.571684,11.36794,9.698714,0.65573716,0.12433028,"DCEP","FUNDAMENTAL"
5539854912393784448,123.71602297130137,-40.02236403975677,257.1630200965869,-2.899618440466167,0.16379783321786992,0.019124333,8.564891,,14.458127,3.0806046,3.6313614012047957,1.480518E-4,,14.517773,16.342438,13.246848,0.56627285,-0.22429144,"DCEP","FUNDAMENTAL"
